,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
17738,2014-04-25,0.028321012544802848,7.691416666666666,369.6935,,,,163.344,8.6175,40.643600000000006,,,,,,0.0,0.8,6.333333333333333,95.46938098044627,
17762,2014-04-26,0.047178819444444485,18.430666666666664,19.5715,,,,,5.831799999999999,33.946285714285715,,,,,,-0.5,0.25,6.0,36.981263185802256,
17785,2014-04-27,0.005429837164750958,14.317571428571428,50.33735714285714,835.74,,,,8.5445,58.39091666666667,,,,,,-0.8333333333333334,0.6666666666666666,6.0,185.69900000095367,1.0
17807,2014-04-28,0.02225241545893721,21.325833333333332,8.767357142857144,109.162,,,,7.571833333333333,46.1776,,,,,,-0.8,0.6,5.8,48.04211113187999,
17831,2014-04-29,0.030996148459383754,3.073571428571429,26.299068181818186,37.136,,,,9.84375,57.85049999999999,,,,,,-0.25,0.25,5.75,65.33670967625032,
17855,2014-04-30,0.03482503992976501,4.309,102.98087096774194,50.6385,,,,7.6628,29.06105555555556,,,,,,-0.5,1.0,6.666666666666667,159.96003994941682,
17879,2014-05-01,0.037314098552964456,16.118,367.89714814814806,625.2913333333333,,,,9.507666666666667,44.289699999999996,,,101.276,,,0.4,0.8,7.0,202.17762964743142,
17903,2014-05-02,0.1817380077030812,4.9703333333333335,7.8980500000000005,29.418,,,,9.148,39.68127272727273,,,3.172,,,-0.4,1.0,7.2,46.87813336054483,
17927,2014-05-03,0.22181372986475956,7.246833333333334,47.23107142857143,,,,,6.104499999999999,36.430416666666666,,6.071,11.0535,,,0.4,1.0,7.4,44.16289999485014,
17951,2014-05-04,0.04327761276924563,9.001777777777779,15.60016,,,,,8.5835,61.94645454545455,,103.919,,,1.0,-0.2,1.0,6.8,57.902382366797504,
17972,2014-05-05,0.0026041666666666687,,7.316800000000001,,,,,5.55375,51.1205,,,,,,-1.0,1.0,6.666666666666667,43.969166636466944,
136646,2014-02-23,,,,,,,,,,,,,,,,,,,
136650,2014-02-24,,,,,,,,,,,,,,,,,,,
136690,2014-03-02,,,,,,,,,,,,,,,,,,,
136695,2014-03-04,,,,,,,,,,,,,,,,,,,
136724,2014-03-08,,,,,,,,,,,,,,,0.0,1.0,7.0,,
136735,2014-03-09,,,,,,,,,,,,,,,-1.0,1.2,7.2,,
19738,2014-05-06,,,,,,,,,,,,,,,,,,,
19762,2014-05-07,,,,,,,,,,,,,,,,,,,
19786,2014-05-08,,,,,,,,,,,,,,,,,,,
31235,2014-05-09,,,,,,,,,,,,,,,,,,,
31259,2014-05-10,,,,,,,,,,,,,,,,,,,
31283,2014-05-11,,,,,,,,,,,,,,,,,,,
31307,2014-05-12,,,,,,,,,,,,,,,,,,,
31331,2014-05-13,,,,,,,,,,,,,,,,,,,
31355,2014-05-14,,,,,,,,,,,,,,,,,,,
31379,2014-05-15,,,,,,,,,,,,,,,,,,,
31403,2014-05-16,,,,,,,,,,,,,,,,,,,
31427,2014-05-17,,,,,,,,,,,,,,,,,,,
31451,2014-05-18,,,,,,,,,,,,,,,,,,,
31475,2014-05-19,,,,,,,,,,,,,,,,,,,
31499,2014-05-20,,,,,,,,,,,,,,,,,,,
31523,2014-05-21,,,,,,,,,,,,,,,,,,,
31547,2014-05-22,,,,,,,,,,,,,,,,,,,
31571,2014-05-23,,,,,,,,,,,,,,,,,,,
31595,2014-05-24,,,,,,,,,,,,,,,,,,,
31619,2014-05-25,,,,,,,,,,,,,,,,,,,
31643,2014-05-26,,,,,,,,,,,,,,,,,,,
31667,2014-05-27,,,,,,,,,,,,,,,,,,,
31691,2014-05-28,,,,,,,,,,,,,,,,,,,
31715,2014-05-29,,,,,,,,,,,,,,,,,,,
31739,2014-05-30,,,,,,,,,,,,,,,,,,,
31763,2014-05-31,,,,,,,,,,,,,,,,,,,
3853,2014-06-01,,,,,,,,,,,,,,,,,,,
31811,2014-06-02,,,,,,,,,,,,,,,,,,,
31835,2014-06-03,,,,,,,,,,,,,,,,,,,
31859,2014-06-04,,,,,,,,,,,,,,,,,,,
31883,2014-06-05,,,,,,,,,,,,,,,,,,,
31907,2014-06-06,,,,,,,,,,,,,,,,,,,
31931,2014-06-07,,,,,,,,,,,,,,,,,,,
3882,2014-06-08,,,,,,,,,,,,,,,,,,,
31959,2014-06-09,,,,,,,,,,,,,,,,,,,
